jobkey,train-ll,valid-ll,test-ll,train-pll,valid-pll,test-pll,train-imperr,valid-imperr,test-imperr,train-bl90,valid-bl90,test-bl90,train-imperr-serr,valid-imperr-serr,test-imperr-serr,train-bl90-serr,valid-bl90-serr,test-bl90-serr,train-rand2,valid-rand2,test-rand2,train-rand3,valid-rand3,test-rand3,train-rand5,valid-rand5,test-rand5,train-rand10,valid-rand10,test-rand10,train-rand2bl90,valid-rand2bl90,test-rand2bl90,train-rand3bl90,valid-rand3bl90,test-rand3bl90,train-rand5bl90,valid-rand5bl90,test-rand5bl90,train-rand10bl90,valid-rand10bl90,test-rand10bl90,train-block2,valid-block2,test-block2,train-block3,valid-block3,test-block3,train-block5,valid-block5,test-block5,train-block10,valid-block10,test-block10,archtype,condInferFunc,datakey,inferFunc,lambdaEdge,lambdaNode,lbpMaxIter,nHidStates,usePseudo
try10_7,,,,-93.33845058766045,-102.31283255608629,-102.74092181098462,0.4370499006722694,0.4606346449856032,0.4606585515023658,2.252800252595014,2.0694320558866486,2.0738611478288296,0.00091684233833263346,0.0016284140135816448,0.0016494808432388488,0.013955919554362364,0.014059957485267222,0.014140725128757189,0.4307225927826241,0.4520933812211388,0.45186586304180576,0.41669716663816214,0.4380870531896719,0.4387116354620857,0.44633606977937457,0.4688860954335545,0.4688058476532439,0.46159107234479013,0.4808545407901482,0.48119363939471693,2.2878997776637666,2.117882247306315,2.1272326237496832,2.4315820078672976,2.2631982213100788,2.262388646661536,2.1234533949033723,1.9483724987172926,1.9537835342395518,2.0646847101077492,1.9168778860954319,1.9166029751218285,0.4580567491876176,0.4780997466649564,0.47888881764555014,0.47919296559625,0.49560621238404606,0.49592420251563685,0.519623906893545,0.5289681972259852,0.5295557078527927,,0.5826696840870786,0.5830918184149784,l1123vis,mf,PF13459,mf,1,0.1,1000,2,1
try10_6,,,,-73.52318436960984,-81.56889884552429,-81.7154752013526,0.4605795551753768,0.4880911132499184,0.48750240461686395,2.5849272882805865,2.378588386268846,2.3755113818531557,0.00096027991655336291,0.0017362907616595895,0.0017634102925203918,0.013964770508782105,0.014923258645265265,0.015256150283996723,0.46977758768178207,0.4968800128328545,0.4964796409105482,0.47295836897633303,0.500962463907602,0.5007716148338119,0.4632380239520943,0.488602502406161,0.4883802500801545,0.48730571000855444,0.5097491177414195,0.5091058031420317,2.5156517322497804,2.317929098492137,2.3081067649887794,2.4431668805246676,2.2345717035611212,2.2286715827722574,2.5766270316509803,2.390194417709334,2.383983327989741,2.3673741445680045,2.2056830285530995,2.2036896441167024,0.48027814633124283,0.5046158983323842,0.503709980305042,0.4952253231631987,0.5160499768295723,0.5158704713049046,0.5171109644065925,0.5316831959381253,0.5309867990019139,0.5398127960107597,0.5486044273339699,0.548517739425546,l1123vis,mf,PF13920,mf,1,0.1,1000,2,1
try10_4,,,,-87.40538522333948,-99.97797725896413,-100.68698243032945,0.44684322054876663,0.4847026316375887,0.48725483648344936,2.5642099634613604,2.2954445855709324,2.2751916412505486,0.0015020587799314817,0.0028011373835169595,0.0028939240765724797,0.019836850977693565,0.021179816461484442,0.021923066785989181,0.444104803493449,0.48080252690687897,0.4843478260869563,0.4502484924100663,0.4864326938075179,0.48943275673991,0.4550311915159053,0.4909424426766496,0.49274240299205196,0.4665935745477246,0.4984623303696773,0.5014291725105181,2.57736899563319,2.314702854468884,2.2927863487611,2.51856311083384,2.2574637342068335,2.235290634252767,2.4465352464129797,2.189196069255967,2.175850397381954,2.4292816593886566,2.201068788020592,2.1801977559607293,0.4695593443744586,0.502147267046055,0.5052896288588281,0.49020790935029696,0.5177576450312095,0.5209241844792392,0.5426033813717925,0.563317814455557,0.5664550994049175,,0.6151813722941454,0.6177038422246471,l1123vis,mf,PF13710,mf,1,0.1,1000,2,1
try10_0,,,,-75.29227357309175,-78.20363190699558,-77.81858051270684,0.46708326823931656,0.47605541378054195,0.47355849835987013,1.8281695568400742,1.7701567626686154,1.7854914348195825,0.00054462855470082663,0.0011976242937138237,0.0011959673048937271,0.0084395803446334107,0.0085391884679204607,0.0086282571548437492,0.457015700671767,0.4651992951755987,0.4627378204349402,0.4742959433421854,0.48284684246769655,0.48071639735957533,0.4736444305577285,0.4823140114230154,0.47954343336168176,0.477828125813676,0.48521594361404513,0.4830349896731886,1.8025705618913679,1.751807023939719,1.7649866358887099,1.7591357253207047,1.7059310568315358,1.7182197383874014,1.8245303858771924,1.7675997083485189,1.7866183938768092,1.7208150289017443,1.6733407461416965,1.6865468351354642,0.48863033730911115,0.4971876464767455,0.49410764184181616,,0.5173834744332378,0.5147351138649263,,0.5623109152678505,0.5595215331223983,,0.6065829057852933,0.6042211034429471,l1123vis,mf,PF11427,mf,1,0.1,1000,2,1
try10_2,,,,-96.27269354144983,-112.49746048401727,-112.28783590365185,0.48170570802208507,0.5315926535087719,0.5302838972736125,1.7434815483923352,1.3811068469785575,1.3697663096397275,0.0013310867389586083,0.0025019241199737458,0.0024534680508962723,0.021872663592612075,0.023428651232930361,0.022963009984470779,0.4850511529717432,0.5335794346978561,0.5324099318403114,0.4808785319909059,0.5301868096166347,0.5284712755598818,0.49546216303994817,0.5415857699805069,0.5407078870496591,0.5028127638843788,0.544085282651071,0.5432706913339826,1.7653824293601843,1.4112451267056545,1.3969011684518013,1.7803291111832802,1.423669590643276,1.4128237585199612,1.595075998700879,1.2597046783625732,1.2482297955209338,1.536815037349784,1.2349658869395705,1.2219279454722471,0.5067095583497051,0.5483577771589427,0.5488400488400454,0.532775793006376,0.5672278815317872,0.5683638533781453,0.5770087690808717,0.601978557504875,0.6030331061343728,0.6290463255483969,0.6450124047492499,0.6465203151279123,l1123vis,mf,PF03459,mf,1,0.1,1000,2,1
try10_8,,,,-124.49784159636499,-136.26393912053524,-136.4251008581134,0.5092959178486239,0.5376862655380122,0.5375989023553583,1.9877301611509166,1.7704598490048007,1.7636405213812016,0.0010631960621163255,0.0019273295739918163,0.0019455651458016531,0.0083820489792328784,0.0087653988817988256,0.0088608610046531939,0.5099828427634588,0.5377224891329223,0.5369540361308043,0.517631792994764,0.5446099290780135,0.5442518484640593,0.5174099435717558,0.5441468771448172,0.5444120740910154,0.521083727314319,0.5459016243422556,0.5459304825062884,1.9438741040109742,1.7348741706703243,1.7313651955179516,1.9245010421432651,1.7189521848547238,1.7120489366567506,1.9701566265060262,1.7667883779455493,1.7564344843356958,1.9462952569772833,1.758660032029284,1.751592499428313,0.530274536393951,0.5549042522275198,0.5553055914363941,0.5539898452836826,0.5748358055218641,0.5754343538128844,,0.6122143061986652,0.6133211802256476,,0.6635975402619201,0.664546216798678,l1123vis,mf,PF13927,mf,1,0.1,1000,2,1
try10_9,,,,-86.51760338842,-96.1205010566517,-96.20086537152356,0.5080016807731557,0.537475238609759,0.5382251986270113,2.0222682433919683,1.8088060507833634,1.8105962410887841,0.0012217172938272932,0.0021644368381909221,0.002149342021979589,0.016471820566666084,0.017308486370135972,0.017145797486315992,0.4998454889249039,0.5289108589951372,0.5299675955930011,0.5230999459751479,0.5512911939492168,0.5525718297688504,0.5155987034035637,0.5418794165316059,0.5431944264419969,0.5217254457050264,0.5444658022690423,0.5456066104990283,2.1039600216099297,1.893628849270666,1.891100129617626,1.9673408968125292,1.760956239870336,1.7600453661697986,1.9592698001080482,1.7693970826580248,1.7692812702527572,1.8728509994597464,1.7071808752025937,1.7083101101749838,0.529247831360916,0.5540044646952703,0.5544822020323066,0.548569034063364,0.5701263350371942,0.5696985559266838,0.5837579686655883,0.5980343598055112,0.5987232663642237,0.6177098265201982,0.6256193048802446,0.6258003888528847,l1123vis,mf,PF13833,mf,1,0.1,1000,2,1
try10_1,,,,-727.7599823657522,-924.8440358467279,-916.6049623151948,0.441078468677004,0.5157605880922935,0.5115809903552259,1.9781636560935438,1.4152173108835155,1.4507931687802424,0.0015572857954951609,0.0030844548547518313,0.0029701208860566913,0.012938820557303837,0.014798218517106127,0.014215371454450041,0.4457137978142073,0.522465846994536,0.5180238907849827,0.44820734669095436,0.5242486338797819,0.5198794084186579,0.4475040983606552,0.522031420765027,0.5183754266211609,0.44480532786885213,0.5185758196721324,0.5139153583617749,1.9589093806921678,1.383323087431691,1.413215017064848,1.9304227383120796,1.3619216757741335,1.3970216154721287,1.9753192167577411,1.4098306010928978,1.4456081911262826,1.944778233151184,1.3859918032786886,1.427650511945394,,,,,,,,,,,,,l1123vis,mf,PF12569,mf,1,0.1,1000,2,1
try10_5,,,,-104.93535998502286,-117.4725488244309,-117.2091749027166,0.40626818941401954,0.4359016785895337,0.4329039524161469,2.5779750840233535,2.3751654649918286,2.3821736529053608,0.0011242932294052398,0.0022106749339802219,0.0021459415164077548,0.016428306169359634,0.018180286800243178,0.017764281303480695,0.4129311008468032,0.44218244803695195,0.43880230880230825,0.4147976007185047,0.4450086605080836,0.44055507455507303,0.41744553502694337,0.44525057736720614,0.44367330447330583,0.4110013471901477,0.4370204965357968,0.43416392496392403,2.522436970746736,2.320694284064662,2.336212121212119,2.588908134462399,2.381769630484995,2.401828763828759,2.5181585835257936,2.3270392609699764,2.326103318903319,2.5537474018475685,2.3765204965358,2.383649927849933,0.42673435881352223,0.45242601146180794,0.4489391267169058,0.452925327174751,0.47410267513471777,0.4712962962962966,,0.5198703144430629,0.5177444777444775,,0.597904868866461,0.5978477534641919,l1123vis,mf,PF13899,mf,1,0.1,1000,2,1
try10_3,,,,-102.4653569985641,-118.99758867545344,-118.0991764828498,0.42624434389140436,0.4669321266968335,0.4635103842535644,1.948357968828564,1.6685912518853685,1.675657910606169,0.001205556550994724,0.0023194106123046623,0.0023511903647778212,0.015402873647554537,0.016251988451204964,0.016556184567863324,0.4123631372549017,0.45271529411764644,0.44831373471307634,0.4243916339869275,0.46510431372549055,0.461011288805268,0.43015184313725674,0.46809694117647094,0.46552022577610547,0.45179325490196004,0.48740564705882344,0.4840545625587953,1.9748815686274457,1.703515294117645,1.7119755409219193,1.92877803921569,1.6475890196078409,1.6627202884916952,1.9347538823529309,1.6724752941176482,1.676251175917215,1.8570679215686257,1.6168127058823534,1.621324082784572,0.4473093964858672,0.4818242933537051,0.47899842396549697,0.4665194358445147,0.4947574819401442,0.49259378455546166,0.5019048224695285,0.5212502384737686,0.5185413541481277,,0.5721793691389626,0.5700778491281177,l1123vis,mf,PF13693,mf,1,0.1,1000,2,1
