jobkey,train-ll,valid-ll,test-ll,train-pll,valid-pll,test-pll,train-imperr,valid-imperr,test-imperr,archtype,condInferFunc,datakey,inferFunc,lambdaEdge,lambdaNode,lbpMaxIter,nHidStates,usePseudo
try6_5,-155.71574841015243,-156.03283916619537,-156.42033392653929,-210.5214282661445,-210.90884066173479,-211.49015885658534,0.6856290675914749,0.6856043729669392,0.6862291564903409,linvis-linhid,mf,PF00595,mf,1,0.1,1000,2,0
try6_2,-147.80815403310754,-148.84117296223639,-147.80478069238075,-151.35871969639857,-152.26777813999374,-151.33663069887186,0.662256612826132,0.6646368692404498,0.6587517052284668,3dhid,mf,PF00240,mf,1,0.1,1000,2,0
try6_3,-155.12295670374743,-156.57741855949558,-155.44279470599753,-213.21822728030224,-215.77404957977362,-214.04362960587756,0.7324973169917841,0.739198094696816,0.7340789064926996,12vis,mf,PF00240,mf,1,0.1,1000,2,0
try6_7,-175.95175754809904,-176.59656148510157,-176.8901506626706,-245.0705526432358,-245.86768577017548,-246.70365777512365,0.7271097187893187,0.7292526001619263,0.7295587545134998,12vis,mf,PF00595,mf,1,0.1,1000,2,0
try6_4,-158.87699989710325,-159.17175692979174,-159.28055726814117,-180.2955479737177,-180.63242920626828,-180.8149811323872,0.6684821137744056,0.6692488634022717,0.669630970510205,l1hid,mf,PF00595,mf,1,0.1,1000,2,0
try6_6,-169.3591045108874,-169.81329533420208,-169.79283950563035,-172.19107068131387,-172.60903511986567,-172.6401366515873,0.6365928352908867,0.6369306831084092,0.6368608070185521,3dhid,mf,PF00595,mf,1,0.1,1000,2,0
try6_1,-136.49746838725696,-138.16403617692194,-136.95247027169484,-188.4905754909157,-191.08098563885096,-189.72918407143587,0.709892409115915,0.7158148283467977,0.7100098599348974,linvis-linhid,mf,PF00240,mf,1,0.1,1000,2,0
try6_0,-145.8644554053075,-147.01242849880552,-145.9407491118322,-157.42604726790432,-158.627002732884,-157.5193750638089,0.6639791491932938,0.6663689630441548,0.6611964288126208,l1hid,mf,PF00240,mf,1,0.1,1000,2,0
