jobkey,train-ll,valid-ll,test-ll,train-pll,valid-pll,test-pll,train-imperr,valid-imperr,test-imperr,archtype,condInferFunc,datakey,inferFunc,lambdaEdge,lambdaNode,lbpMaxIter,nHidStates
try3_81,-159.5431733214834,-160.72886023618318,-160.85700906293022,-0.9052157620159211,-2.8008893540380226,-2.670130847327316,0.0033865992220880993,0.010333577659926128,0.009831527933415702,linvis-3dhid,loopy,PF00595,loopy,1,0.1,1000,4
try3_84,-157.6191292600218,-160.0913204198528,-160.36784036766562,-0.8428581687476286,-2.682635193132889,-2.5730295607425764,0.003244492984103262,0.010036553174568955,0.009735750749456465,l1vis-l1hid,loopy,PF00595,loopy,1,0.1,1000,2
try3_49,-192.83825349972193,-194.968232298189,-195.70386124385772,-1.2017020920120456,-3.848199245607694,-3.63385022312192,0.0034744176837641226,0.010668927885329386,0.010157170358877109,3dvis,loopy,PF00595,loopy,1,0.1,1000,4
try3_54,-156.45009765500424,-160.54804272683953,-160.86771243628672,-0.8161196765586393,-2.6583265072869966,-2.5499219316579116,0.0031949953057040484,0.009964692411982543,0.009563351818329837,l1vis,loopy,PF00595,loopy,0.1,0.01,1000,2
try3_51,-204.04753225909585,-206.25874615310718,-206.83617223963864,-1.2695807783393729,-4.043341767886932,-3.8298066573889162,0.003535092257285739,0.010783905105467647,0.01023858096524246,3dvis,loopy,PF00595,loopy,0.1,0.01,1000,4
try3_82,-152.7184680134373,-154.45733750112728,-154.61748476753877,-0.8356979707797314,-2.617924743464637,-2.500457222732057,0.0032508797813160634,0.010012599587040151,0.009520252085548181,linvis-3dhid,loopy,PF00595,loopy,0.1,0.01,1000,2
try3_83,-159.84802000699244,-161.05251766525075,-161.19518552497365,-0.9069117789596,-2.8205072712172665,-2.6897352425873824,0.0033786157255720974,0.010271298332351237,0.009908149680583091,linvis-3dhid,loopy,PF00595,loopy,0.1,0.01,1000,4
try3_9,-137.60795891125673,-142.3962511438072,-141.59170427077865,-1.3880221407537834,-4.648783046807282,-4.3959955107514315,0.006267867932866174,0.02082572159298502,0.01943622783202993,l1vis,loopy,PF00240,loopy,1,0.1,1000,4
try3_11,-135.82428325141385,-143.64015159474192,-142.8134487061751,-1.3667968812344575,-4.74218694158455,-4.504547993682308,0.006191210555269969,0.02082572159298502,0.019409214311763037,l1vis,loopy,PF00240,loopy,0.1,0.01,1000,4
try3_47,-150.30386417251484,-153.65804813198022,-153.81954150216632,-0.8062237486351707,-2.5542066975952102,-2.446271832197012,0.003226929291768057,0.009907203801913412,0.009357430872817478,linvis,loopy,PF00595,loopy,0.1,0.01,1000,4
try3_72,-165.6391842113385,-166.10716209204327,-166.22804724805277,-0.9055071287125921,-2.7794516851110647,-2.725153622688951,0.0035718163412593487,0.0105204156426508,0.01034393586759762,l1hid,loopy,PF00595,loopy,1,0.1,1000,2
try3_30,-146.45985933251586,-147.6452632821329,-146.65339682303485,-1.5643816480909025,-4.918446576559577,-4.799090930368667,0.006849562151096201,0.021827088323252006,0.02108405256831044,l1hid,loopy,PF00240,loopy,0.1,0.01,1000,2
try3_8,-137.60795891125673,-161.0221554355409,-155.52686318821065,-0.9069117789596,-2.8205072712172665,-4.3959955107514315,0.0033786157255720974,0.010271298332351237,0.01943622783202993,l1vis,loopy,PF00240,loopy,1,0.1,1000,2
try3_21,-137.59161598200572,-139.50164669627083,-138.44526014692852,-1.390263333978573,-4.504035583902616,-4.366124585068627,0.006132590207696401,0.02012205848522984,0.019557788673230953,linhid,loopy,PF00240,loopy,1,0.1,1000,4
try3_22,-138.87876230419815,-140.75430149940763,-139.6461653652848,-1.4332218149383171,-4.603079340816835,-4.443016204697336,0.006321979022934084,0.020649805816046224,0.01990896443670057,linhid,loopy,PF00240,loopy,0.1,0.01,1000,2
try3_74,-165.16338355233995,-165.652693504872,-165.75806130846533,-0.9050196274062396,-2.7905839668766363,-2.7332387784186456,0.003546269152408142,0.010601857840248734,0.010410979896369087,l1hid,loopy,PF00595,loopy,0.1,0.01,1000,2
try3_87,-160.32884701158628,-162.53608407205007,-162.69185166777245,-0.8815601791583041,-2.786238811886202,-2.677504156637122,0.0032700401729544686,0.010204228287270585,0.00982673907421774,l1vis-l1hid,loopy,PF00595,loopy,0.1,0.01,1000,4
try3_29,-145.93648486473424,-147.0367405761298,-146.1448430977125,-1.5751749572832938,-4.938826354639205,-4.806342559195402,0.006845052893590542,0.02159704461494743,0.02120561340951146,l1hid,loopy,PF00240,loopy,1,0.1,1000,4
try3_31,-146.57921090725523,-147.7201532529834,-146.72697241131732,-1.5691597730471991,-4.908760189774323,-4.790903588209478,0.006863089923613177,0.021772960391886222,0.021259640450045247,l1hid,loopy,PF00240,loopy,0.1,0.01,1000,4
