jobkey,train-ll,valid-ll,test-ll,train-pll,valid-pll,test-pll,train-imperr,valid-imperr,test-imperr,archtype,condInferFunc,datakey,inferFunc,lambdaEdge,lambdaNode,lbpMaxIter,nHidStates,usePseudo
try5_4,-165.6391842113385,-166.10716209204327,-166.22804724805277,-166.6564444603963,-167.0912741628783,-167.30037744917476,0.6316366806537526,0.6325519673081438,0.6328429541514621,l1hid,loopy,PF00595,loopy,1,0.1,1000,2,0
try5_0,-146.4494432053552,-147.67922133901806,-146.64834346258166,-147.17443562120673,-148.46686876342636,-147.3676651869979,0.6533869033125006,0.6563011678101193,0.6492159325742534,l1hid,loopy,PF00240,loopy,1,0.1,1000,2,0
try5_5,-155.8356790392238,-157.2182862895999,-157.24443066317,-153.56244565866913,-155.87378819450123,-155.82542686861296,0.5769816635052021,0.5835477179417161,0.5821433018226398,linvis-linhid,loopy,PF00595,loopy,1,0.1,1000,2,0
try5_3,-152.41277340264838,-155.49868484533096,-154.4300733009607,-160.26970946034785,-164.94969557701305,-164.01124881880304,0.6224849616262186,0.6332020730997713,0.6300228264246255,12vis,loopy,PF00240,loopy,1,0.1,1000,2,0
try5_1,-134.95865287707738,-139.0276130879708,-137.81985927869357,-129.07907365213845,-135.45333752477222,-134.22950330646412,0.5737443972475492,0.5889254252425608,0.5857071464267866,linvis-linhid,loopy,PF00240,loopy,1,0.1,1000,2,0
try5_6,-165.5102569800453,-166.0164200544523,-166.10906081958805,-165.76170655424403,-166.2594436767448,-166.40574185470012,0.6297509787766729,0.6308752161811274,0.6315068624352307,3dhid,loopy,PF00595,loopy,1,0.1,1000,2,0
try5_2,-145.67154277729975,-146.91516279093437,-145.97146735063086,-146.4204549259029,-147.66874521636709,-146.7852921218432,0.644332314241137,0.6476271668087525,0.6403690046868458,3dhid,loopy,PF00240,loopy,1,0.1,1000,2,0
try5_7,-163.24015303303634,-164.69809040899807,-165.1585857955736,-172.55361985657646,-174.84359878414642,-175.70102757300637,0.5952447101352085,0.6019728174688723,0.6027737072474595,12vis,loopy,PF00595,loopy,1,0.1,1000,2,0
