jobkey,train-ll,valid-ll,test-ll,train-pll,valid-pll,test-pll,train-imperr,valid-imperr,test-imperr,archtype,condInferFunc,datakey,inferFunc,lambdaEdge,lambdaNode,lbpMaxIter,nHidStates,usePseudo
try9_0,-57.40230748545752,-121.49845068392311,-119.69125290380558,-15.231567596835767,-117.55728672401183,-115.5077972323721,0.02827304456048267,0.40656842447123775,0.3979496738117428,full,mf,PF00240,mf,1,0.1,1000,2,1
try9_1,-54.78686318187037,-112.5125054915026,-113.12671917439444,-33.45562850327573,-134.40500657290193,-135.2230530033115,0.11433644370357597,0.4115801223549251,0.41272782997634305,full,mf,PF00595,mf,1,0.1,1000,2,1
