train-ll,valid-ll,test-ll,train-pll,valid-pll,test-pll,train-imperr,valid-imperr,test-imperr,archtype,condInferFunc,datakey,inferFunc,lambdaEdge,lambdaNode,nHidStates
-146.53702835468138,-147.6751531330824,-146.72199495326535,-1.565282030445091,-4.907159032547274,-4.778112557011997,0.006876617696130155,0.021827088323252006,0.021016518767643204,l1hid,loopy,PF00240,loopy,1,1,2
-163.66980677045643,-164.94808493727118,-165.55450417565135,-0.9741525154796221,-3.0141963080735232,-2.8867228528907813,0.0034281134039713104,0.010252135462328192,0.009898571962187169,12vis,loopy,PF00595,loopy,1,1,2
-163.66980677045643,-188.98670388165817,-156.587324089642,-0.9741525154796221,-6.465279597175166,-3.5432187465175913,0.0034281134039713104,0.02139406487232574,0.010674367152256989,3dvis,loopy,PF00240,loopy,1,1,2
-192.71215973805204,-194.83241869852262,-195.5728018938312,-1.1952170243333915,-3.8228358485273986,-3.617771041218365,0.003468030886551321,0.010664137167823625,0.010233792106044498,3dvis,loopy,PF00595,loopy,1,1,2
-157.857296399031,-156.19999672977684,-156.33219237025392,-0.8446909387443738,-2.6842856147144905,-2.574885431781247,0.003279620368773671,0.010079669632120803,0.009845894511009588,l1vis,loopy,PF00240,loopy,1,1,2
-156.25694961759632,-157.60194265025345,-157.60766503292137,-0.8590045679169891,-2.6960776225401273,-2.5570178377232446,0.003298780760412076,0.010094041784638085,0.009558562959131876,linvis-linhid,loopy,PF00595,loopy,1,1,2
-187.80099676934248,-188.98670388165817,-189.47164603461536,-1.1753984334649026,-3.6172564085346104,-3.5432187465175913,0.00361492722244576,0.01091325447812319,0.010674367152256989,123vis,loopy,PF00595,loopy,1,1,2
-139.10365757050076,-140.82184412695415,-139.71189721248587,-1.4368180370531587,-4.601299204731219,-4.442885598493942,0.006371580855496334,0.020622741850363335,0.019895457676567124,linhid,loopy,PF00240,loopy,1,1,2
-155.99187071112013,-156.3974848229781,-156.587324089642,-0.8534511489431622,-2.6361431181000934,-2.520971977970545,0.003399372816513703,0.010213809722282106,0.009893783102989205,linhid,loopy,PF00595,loopy,1,1,2
-148.3400130468578,-151.83455413533792,-150.6290772656371,-1.610239003853508,-5.413646760949429,-4.936591425081975,0.006389617885518971,0.020771593661619236,0.019706363034698866,12vis,loopy,PF00240,loopy,1,1,2
-151.12416015982006,-153.27509182824483,-153.40698214036797,-0.8095477313850803,-2.534001949131159,-2.418291349927599,0.003230122690374458,0.009873668779373087,0.0093670085912134,linvis,loopy,PF00595,loopy,1,1,2
-136.6199693225089,-141.56217042591737,-140.76449346416913,-1.3861592392750666,-4.660385888523653,-4.410229620903978,0.006213756842798265,0.020582145901838995,0.01939570755162959,l1vis-l1hid,loopy,PF00240,loopy,1,1,2
-169.0634514979265,-172.68098369204137,-171.044297553737,-1.886558719866452,-6.359328559563879,-6.079195298764302,0.0068179973485565865,0.021732364443361886,0.021300160730445588,123vis,loopy,PF00240,loopy,1,1,2
-154.75745395307584,-156.19999672977684,-156.33219237025392,-0.8487418866957243,-2.6582296609109495,-2.5257418585869615,0.0032620566764384666,0.009988645999511346,0.009505885507954295,linvis-3dhid,loopy,PF00595,loopy,1,1,2
-157.33070857581052,-160.01378058486293,-160.25721974921206,-0.8232495919102586,-2.627426456032198,-2.5202279699819807,0.003207768900129652,0.009983855282005585,0.009582507255121685,l1vis,loopy,PF00595,loopy,1,1,2
-132.72950923553904,-137.1526837353055,-136.05850013842706,-1.2896127484906768,-4.408116546245803,-4.134819936652693,0.005857525499851195,0.019892014776925263,0.018234126180153166,linvis,loopy,PF00240,loopy,1,1,2
-133.37281073981615,-137.81468553295872,-136.67955913752996,-1.3151165939219234,-4.486654662656135,-4.233008278942172,0.005889090302390808,0.020054398571022612,0.01855828842335589,linvis-3dhid,loopy,PF00240,loopy,1,1,2
-145.66250053433134,-146.88190509212492,-145.9016953306551,-1.561336490363282,-4.915634417078315,-4.791883939922935,0.006840543636084882,0.02188121625461779,0.021138079608844226,3dhid,loopy,PF00240,loopy,1,1,2
-165.89437382113505,-166.35164216183844,-166.47105474470263,-0.9045668015296094,-2.77422560488178,-2.715241963682906,0.00357660643916895,0.010491671337616235,0.010324780430805773,l1hid,loopy,PF00595,loopy,1,1,2
-135.97834268473704,-139.81869330883967,-138.63191828454444,-1.3766601630573392,-4.576038370169156,-4.302415014104614,0.006092006890145468,0.01983788684555948,0.01867984926455691,linvis-linhid,loopy,PF00240,loopy,1,1,2
-157.857296399031,-160.2945272830849,-160.57329447316505,-0.8446909387443738,-2.6842856147144905,-2.574885431781247,0.003279620368773671,0.010079669632120803,0.009845894511009588,l1vis-l1hid,loopy,PF00595,loopy,1,1,2
-165.79436026777353,-166.30397541008557,-166.35023508057122,-0.9028701894899048,-2.782468806390988,-2.722364635978234,0.0035558493482273443,0.010568322817708408,0.010300836134815965,3dhid,loopy,PF00595,loopy,1,1,2
