jobkey,train-ll,valid-ll,test-ll,train-pll,valid-pll,test-pll,train-imperr,valid-imperr,test-imperr,archtype,condInferFunc,datakey,inferFunc,lambdaEdge,lambdaNode,lbpMaxIter,nHidStates,usePseudo
try4_0,nan,nan,nan,-89.98462325131801,-115.10729135076535,-114.24609451623462,0.41642091213260823,0.4931054547422834,0.4856220538379459,3dvis,loopy,PF00240,loopy,1,0.1,1000,2,1
try4_2,nan,nan,nan,-108.89788879846152,-124.05804061228697,-123.29515125730681,0.5045994426557723,0.5435662187580346,0.5374339857098478,12vis,loopy,PF00240,loopy,1,0.1,1000,2,1
try4_1,nan,nan,nan,-129.0397861361884,-138.848965307646,-138.1761659632129,0.5883814471109187,0.6095887630414485,0.6058592325458892,l1vis,loopy,PF00240,loopy,1,0.1,1000,2,1
try4_4,nan,nan,nan,-150.61164884439094,-156.2865347399356,-156.7420282693011,0.579052582501453,0.5893444861236867,0.5914384775258837,l1vis,loopy,PF00595,loopy,1,0.1,1000,2,1
try4_5,nan,nan,nan,-130.0372685884906,-138.56308138557443,-138.83540104265066,0.5187660069105146,0.5365699420802253,0.5377745213535232,12vis,loopy,PF00595,loopy,1,0.1,1000,2,1
